title,artist,link
Distortion 2 (2014),Ainsley Francis,collections.ed.ac.uk/art/record/47453?highlight=*:*
Virgin and Child (statuette head of child missing),Unknown,collections.ed.ac.uk/art/record/20559?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20666?highlight=*:*
Champagne (1993),Robert I Montgomery,collections.ed.ac.uk/art/record/99416?highlight=*:*
Standing Male Nude,John Hunter,collections.ed.ac.uk/art/record/21043?highlight=*:*
Seated Male Nude,John Houston,collections.ed.ac.uk/art/record/21044?highlight=*:*
Untitled - Sprite in Long Gown (1963),Iona Murray,collections.ed.ac.uk/art/record/99402?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,collections.ed.ac.uk/art/record/99854?highlight=*:*
Unknown (1952),Rosemary Bagshaw,collections.ed.ac.uk/art/record/53520?highlight=*:*
Venice (1951),Sax Shaw,collections.ed.ac.uk/art/record/99849?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53546?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53626?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,collections.ed.ac.uk/art/record/20574?highlight=*:*
Embroidered panel,Winsome Douglass,collections.ed.ac.uk/art/record/113834?highlight=*:*
Untitled (1980),Unknown,collections.ed.ac.uk/art/record/99824?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53632?highlight=*:*
North Berwick from Belhaven Bay (Unknown),Catherine Orbach,collections.ed.ac.uk/art/record/21792?highlight=*:*
Seated Man in Traditional Dress (1960s),Barreton,collections.ed.ac.uk/art/record/21290?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21904?highlight=*:*
Reclining Female Nude (1953),Mary Edmond,collections.ed.ac.uk/art/record/20895?highlight=*:*
Seated Young Male Nude (1948),Victorine Anne Schilsky,collections.ed.ac.uk/art/record/20832?highlight=*:*
Untitled,NA,collections.ed.ac.uk/art/record/112505?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions,Unknown,collections.ed.ac.uk/art/record/20619?highlight=*:*
Untitled,NA,collections.ed.ac.uk/art/record/21840?highlight=*:*
Standing Male Nude (1954),John P Busby,collections.ed.ac.uk/art/record/21377?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,collections.ed.ac.uk/art/record/99853?highlight=*:*
Unknown,Elizabeth Blackadder,collections.ed.ac.uk/art/record/50638?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,collections.ed.ac.uk/art/record/99453?highlight=*:*
Untitled (Jan 1997),Sharon Cornwill,collections.ed.ac.uk/art/record/21920?highlight=*:*
Grey Cover,Unknown,collections.ed.ac.uk/art/record/22633?highlight=*:*
Portrait of a Man (1959),Kenneth Dingwall,collections.ed.ac.uk/art/record/21331?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,collections.ed.ac.uk/art/record/20876?highlight=*:*
Untitled (1966),Maureen Dawson,collections.ed.ac.uk/art/record/99845?highlight=*:*
Graveyard and Church Ruins,Alistair Hartleby (?),collections.ed.ac.uk/art/record/21498?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,collections.ed.ac.uk/art/record/50444?highlight=*:*
Untitled (2007),Rob Hunter,collections.ed.ac.uk/art/record/99893?highlight=*:*
Portrait of a Man (1951),James Wilson,collections.ed.ac.uk/art/record/21226?highlight=*:*
Poirtrait of a Man,A Sinclair,collections.ed.ac.uk/art/record/21440?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,collections.ed.ac.uk/art/record/99459?highlight=*:*
Portrait of a Man (1959),John O'Neill,collections.ed.ac.uk/art/record/21154?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,collections.ed.ac.uk/art/record/50525?highlight=*:*
Homage to Ernest Hemingway (Circa 1967),Michael Docherty,collections.ed.ac.uk/art/record/20750?highlight=*:*
Untitled (1984),Unknown,collections.ed.ac.uk/art/record/21602?highlight=*:*
Fish in a Whirlpool (1953),Hans Jelinek,collections.ed.ac.uk/art/record/21653?highlight=*:*
Unknown,Alistair Fairweather,collections.ed.ac.uk/art/record/50426?highlight=*:*
Untitled (Unknown),Donald Clark,collections.ed.ac.uk/art/record/21636?highlight=*:*
