title,artist,link
Hyde Park,Unknown,collections.ed.ac.uk/art/record/50476?highlight=*:*
Archway,Louise Allardyce,collections.ed.ac.uk/art/record/21524?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,collections.ed.ac.uk/art/record/99274?highlight=*:*
Untitled - Three Horse Riders (1963),Iona Murray,collections.ed.ac.uk/art/record/99403?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,collections.ed.ac.uk/art/record/21050?highlight=*:*
Unknown (24 Jan 1947),Eric Forrest,collections.ed.ac.uk/art/record/50588?highlight=*:*
Seated Male Nude in High-back Chair (1969),James Campbell,collections.ed.ac.uk/art/record/21270?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53541?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21988?highlight=*:*
Beginning (Unknown),Unknown,collections.ed.ac.uk/art/record/21926?highlight=*:*
Portrait of a Man (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20919?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53647?highlight=*:*
Untitled (Unknown),S J Dooley,collections.ed.ac.uk/art/record/99911?highlight=*:*
Untitled (1962),Deborah Eadie,collections.ed.ac.uk/art/record/112447?highlight=*:*
Unknown (18 May 1948),Edward A. Gage,collections.ed.ac.uk/art/record/50630?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco,collections.ed.ac.uk/art/record/21400?highlight=*:*
Untitled - Portrait of a Man (1968),Alistair Bell,collections.ed.ac.uk/art/record/99378?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,collections.ed.ac.uk/art/record/22604?highlight=*:*
Seated Female Nude (1953),Laura Nye,collections.ed.ac.uk/art/record/21117?highlight=*:*
Untitled (2006),Siri Gossman,collections.ed.ac.uk/art/record/99883?highlight=*:*
Untitled (2007),Vikki Hill,collections.ed.ac.uk/art/record/99966?highlight=*:*
Unknown (1949),Betty Elston,collections.ed.ac.uk/art/record/50583?highlight=*:*
Untitled,Anne Waterhouse,collections.ed.ac.uk/art/record/112342?highlight=*:*
Untitled (1986),Sylvia Cameron,collections.ed.ac.uk/art/record/21716?highlight=*:*
Standing Male Nude (Dec 1951),M McKeown,collections.ed.ac.uk/art/record/21225?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20671?highlight=*:*
Unknown,Alan M. Alexander,collections.ed.ac.uk/art/record/50598?highlight=*:*
From Rialto Venezia (10 Mar 1948),Marjorie Wallace,collections.ed.ac.uk/art/record/20854?highlight=*:*
Standing Female Nude (1954),Margaret Proudfoot,collections.ed.ac.uk/art/record/21246?highlight=*:*
Standing Man with Scythe,John Houston,collections.ed.ac.uk/art/record/20770?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,collections.ed.ac.uk/art/record/21687?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20694?highlight=*:*
Portrait of Standing Woman seen from behind,Jacqueline A N Stieger,collections.ed.ac.uk/art/record/20822?highlight=*:*
Unknown (1960),Alan M. Alexander,collections.ed.ac.uk/art/record/50595?highlight=*:*
Espresso Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53684?highlight=*:*
Trafalgar Square (1963),Unknown,collections.ed.ac.uk/art/record/21773?highlight=*:*
Shell-Shapes (1989),Dorothy Black,collections.ed.ac.uk/art/record/21973?highlight=*:*
Unknown (1969),Brent D. Millar,collections.ed.ac.uk/art/record/50378?highlight=*:*
Woman (1966),James H. Fairgrieve,collections.ed.ac.uk/art/record/22617?highlight=*:*
Sean Connery as a Life Model (1952),Alastair Fairweather,collections.ed.ac.uk/art/record/22598?highlight=*:*
Portrait of a Woman (1957),Colin Turner,collections.ed.ac.uk/art/record/21144?highlight=*:*
Untitled - Portrait of a Girl (1963),L. Allan,collections.ed.ac.uk/art/record/99383?highlight=*:*
Standing Woman (1965),William Gillon,collections.ed.ac.uk/art/record/21315?highlight=*:*
Unknown,Alexander S Campbell,collections.ed.ac.uk/art/record/50632?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53658?highlight=*:*
Seated Nude Woman (1951),James P W Syme,collections.ed.ac.uk/art/record/22513?highlight=*:*
Coupar,Unknown,collections.ed.ac.uk/art/record/50409?highlight=*:*
Espresso Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53682?highlight=*:*
Lucius Junius Brutus,NA,collections.ed.ac.uk/art/record/20561?highlight=*:*
Unknown (1953),Maurice Chamberlain,collections.ed.ac.uk/art/record/50559?highlight=*:*
Face Value (2007),Annette Kierulf,collections.ed.ac.uk/art/record/99902?highlight=*:*
Bloomers,Unknown,collections.ed.ac.uk/art/record/102663?highlight=*:*
Woman in a Blue Background,Ian Paterson,collections.ed.ac.uk/art/record/22696?highlight=*:*
Unknown (1960),Alan M. Alexander,collections.ed.ac.uk/art/record/50596?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,collections.ed.ac.uk/art/record/21064?highlight=*:*
Unknown (1949),John Thomson,collections.ed.ac.uk/art/record/50483?highlight=*:*
Unknown (1965),William S. T. Brodie,collections.ed.ac.uk/art/record/53597?highlight=*:*
Replica cast (brown) of Parthenon slab GE33,Unknown,collections.ed.ac.uk/art/record/20657?highlight=*:*
"Unknown, Abstract",Paresh Chandra Chakraborty,collections.ed.ac.uk/art/record/99485?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,collections.ed.ac.uk/art/record/22620?highlight=*:*
(2003),Unknown,collections.ed.ac.uk/art/record/99930?highlight=*:*
Bearded Goat,Emma Gillies,collections.ed.ac.uk/art/record/53755?highlight=*:*
Large Head (Circa 1983),Gwen W. Hardie,collections.ed.ac.uk/art/record/22622?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53636?highlight=*:*
Untitled (Unknown),Annabel Keatley,collections.ed.ac.uk/art/record/21609?highlight=*:*
For They Shall See God (2006),Jennifer M. Hughes,collections.ed.ac.uk/art/record/99881?highlight=*:*
Wall hanging (1939),Unknown,collections.ed.ac.uk/art/record/100009?highlight=*:*
"Metope 3, south entablature, Parthenon (1837)",NA,collections.ed.ac.uk/art/record/20641?highlight=*:*
Untitled (1947),Sheila Turnbull,collections.ed.ac.uk/art/record/111032?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,collections.ed.ac.uk/art/record/22569?highlight=*:*
November Afternoon (1982),Gwyneth M. Leech,collections.ed.ac.uk/art/record/99433?highlight=*:*
Anat (1966),Norman Orr,collections.ed.ac.uk/art/record/99405?highlight=*:*
Two Figures in a Landscape,Unknown,collections.ed.ac.uk/art/record/21484?highlight=*:*
Stately Dance (1947),Allan W. Robson,collections.ed.ac.uk/art/record/21741?highlight=*:*
Esme (1949),Betty Elston,collections.ed.ac.uk/art/record/22694?highlight=*:*
"Acanthus Scrolls, Temple of Venus Genetrix, Rome",Unknown,collections.ed.ac.uk/art/record/20560?highlight=*:*
Works of a Strange Device: Drawing Smoke (2016),Suzanne Priestley,collections.ed.ac.uk/art/record/99239?highlight=*:*
Oranges (2018),Jessica Gasson,collections.ed.ac.uk/art/record/102753?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,collections.ed.ac.uk/art/record/21061?highlight=*:*
Untitled (1963),Kathleen Russell,collections.ed.ac.uk/art/record/22014?highlight=*:*
Standing Male Nude (Jan 1958),Walter Miller,collections.ed.ac.uk/art/record/20907?highlight=*:*
Unknown (1951),Harold F Burnett,collections.ed.ac.uk/art/record/50572?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21857?highlight=*:*
Replica of parthenon slab PF049,NA,collections.ed.ac.uk/art/record/20653?highlight=*:*
Untitled (1963),Monika L. Uecher,collections.ed.ac.uk/art/record/21774?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20701?highlight=*:*
Reclining Female Nude (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20922?highlight=*:*
Seated Female Nude,Colin Lawson,collections.ed.ac.uk/art/record/20774?highlight=*:*
Horses from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20732?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53504?highlight=*:*
Seated Male Nude (1965-1966),H Chart,collections.ed.ac.uk/art/record/21268?highlight=*:*
Untitled (1961),Norma Kirk,collections.ed.ac.uk/art/record/22010?highlight=*:*
John Stone (1950),David McClure,collections.ed.ac.uk/art/record/22666?highlight=*:*
(n) (fr) Les Voyeurs (1984),David C Duke,collections.ed.ac.uk/art/record/99247?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53536?highlight=*:*
Standing Male Nude (1959),B Clapperton,collections.ed.ac.uk/art/record/20911?highlight=*:*
Untitled - Holyrood Palace (1978-1979),Thomas F. C. Denny,collections.ed.ac.uk/art/record/99413?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,collections.ed.ac.uk/art/record/21114?highlight=*:*
Small relief with figure in clerical dress,NA,collections.ed.ac.uk/art/record/20611?highlight=*:*
Unknown (1949),Mary D Thomson,collections.ed.ac.uk/art/record/50452?highlight=*:*
Minotaur,Paul Duffus,collections.ed.ac.uk/art/record/102661?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,collections.ed.ac.uk/art/record/21174?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21978?highlight=*:*
Portrait of a Man,A Sinclair,collections.ed.ac.uk/art/record/21471?highlight=*:*
15th Century Italian (Feb 1982),Carol Binnie,collections.ed.ac.uk/art/record/21976?highlight=*:*
View from a Window,Sylvia Mackiewicz,collections.ed.ac.uk/art/record/21453?highlight=*:*
Jug,Emma Gillies,collections.ed.ac.uk/art/record/53722?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,collections.ed.ac.uk/art/record/99337?highlight=*:*
Dog (1966),James Fairgrieve,collections.ed.ac.uk/art/record/21345?highlight=*:*
Untitled (1965),Wilson,collections.ed.ac.uk/art/record/22485?highlight=*:*
The Dive (1966),William S. T. Brodie,collections.ed.ac.uk/art/record/22601?highlight=*:*
Portrait of a Man,Kirsty Ratt,collections.ed.ac.uk/art/record/21439?highlight=*:*
Portrait of a Woman (1939),Betty M. Ferguson,collections.ed.ac.uk/art/record/21130?highlight=*:*
Portrait of a Woman in a Hat (1958),Pat Calder,collections.ed.ac.uk/art/record/20959?highlight=*:*
Untitled (2007),Frea Buckler,collections.ed.ac.uk/art/record/99967?highlight=*:*
Serving Plate,Emma Gillies,collections.ed.ac.uk/art/record/53620?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,collections.ed.ac.uk/art/record/99442?highlight=*:*
Full Length Nude Female (1949),Edith A. Blight,collections.ed.ac.uk/art/record/22692?highlight=*:*
Portrait of a Young Man (1950),Norman Nisbet,collections.ed.ac.uk/art/record/21074?highlight=*:*
Untitled (1963),Madelene R Galloway,collections.ed.ac.uk/art/record/99821?highlight=*:*
Sixteen Boxes,John Mooney,collections.ed.ac.uk/art/record/21804?highlight=*:*
Standing Male Nude (1957),Braso,collections.ed.ac.uk/art/record/21247?highlight=*:*
Espresso Cup,Emma Gillies,collections.ed.ac.uk/art/record/53697?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20668?highlight=*:*
Portrait of a Man,Claudia Petretti,collections.ed.ac.uk/art/record/21441?highlight=*:*
Unitled (Unknown),S J Dooley,collections.ed.ac.uk/art/record/99909?highlight=*:*
Putto with a fish,Unknown,collections.ed.ac.uk/art/record/20540?highlight=*:*
Untitled - Bearded Man at the Table (20 Oct 1962),John C Mark Jones,collections.ed.ac.uk/art/record/99258?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,collections.ed.ac.uk/art/record/22563?highlight=*:*
Cow,Emma Gillies,collections.ed.ac.uk/art/record/53752?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,collections.ed.ac.uk/art/record/99387?highlight=*:*
Unknown (1960),Hugh Deans,collections.ed.ac.uk/art/record/53574?highlight=*:*
Unknown,Alistair Fairweather,collections.ed.ac.uk/art/record/50424?highlight=*:*
Student in the Studio,Leon Francesco Morrocco,collections.ed.ac.uk/art/record/21401?highlight=*:*
Untitled (1962),Carl O Ekevall,collections.ed.ac.uk/art/record/99496?highlight=*:*
Reclining Female Nude (1952),John Houston,collections.ed.ac.uk/art/record/21352?highlight=*:*
Untitled,Sara Gough,collections.ed.ac.uk/art/record/112504?highlight=*:*
Unknown (1948),Mabel D. Lawford,collections.ed.ac.uk/art/record/50537?highlight=*:*
Ecorche of Houdon,Unknown,collections.ed.ac.uk/art/record/20602?highlight=*:*
Portrait of a Man in a Suit (Mar 1963),John Bellany,collections.ed.ac.uk/art/record/20776?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21569?highlight=*:*
Unknown (1949),James N. Hardie,collections.ed.ac.uk/art/record/50532?highlight=*:*
Jacopo Nani (2019),Brandon Logan,collections.ed.ac.uk/art/record/113742?highlight=*:*
Circus (1950),Cecile E M Johnston,collections.ed.ac.uk/art/record/21027?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53667?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,collections.ed.ac.uk/art/record/50526?highlight=*:*
Interior Scene (1968),Ian Paterson,collections.ed.ac.uk/art/record/21341?highlight=*:*
Two Men Standing,Charlene Anderson,collections.ed.ac.uk/art/record/21091?highlight=*:*
Twist (1989),Dorothy Black,collections.ed.ac.uk/art/record/21849?highlight=*:*
Tangled Leaves,Susan Alexander,collections.ed.ac.uk/art/record/50401?highlight=*:*
Unknown (1960),Hugh Deans,collections.ed.ac.uk/art/record/53570?highlight=*:*
Modesty vest,Unknown,collections.ed.ac.uk/art/record/102682?highlight=*:*
Portrait of a Man in a Suit (1958),Ian Hodkinson,collections.ed.ac.uk/art/record/20881?highlight=*:*
Sitting Nude Woman (1967),Jean B. M. Lothian,collections.ed.ac.uk/art/record/22626?highlight=*:*
Unknown,Duncan Currie,collections.ed.ac.uk/art/record/50389?highlight=*:*
Whitey 1.1 (2015),Stephanie Maclean,collections.ed.ac.uk/art/record/53780?highlight=*:*
Interior Scene,Sigrid Gordon,collections.ed.ac.uk/art/record/21462?highlight=*:*
Portrait of a Young Man (1948),Sheena Page,collections.ed.ac.uk/art/record/21070?highlight=*:*
Portrait of a Woman (1964),Carole V Danielson,collections.ed.ac.uk/art/record/21346?highlight=*:*
Seated Male Nude (Circa 1953),Mollie Parker,collections.ed.ac.uk/art/record/20948?highlight=*:*
Untitled (1981),Jodie Pear,collections.ed.ac.uk/art/record/21922?highlight=*:*
Zoo 9th May (1962-1963),Lesley M. Johns,collections.ed.ac.uk/art/record/99330?highlight=*:*
Game Birds,George Glen,collections.ed.ac.uk/art/record/53607?highlight=*:*
Portrait of a Woman (1958),John Boyd,collections.ed.ac.uk/art/record/20957?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53710?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20720?highlight=*:*
Untitled - Nude Female Sitting (1967),Kevin Maguire,collections.ed.ac.uk/art/record/99359?highlight=*:*
Stairway (Circa 1979),Jean B. M. Lothian,collections.ed.ac.uk/art/record/22636?highlight=*:*
Unknown (1957),Peter Coyle,collections.ed.ac.uk/art/record/50512?highlight=*:*
Seated Female Nude (1954),D Stewart Lowdon,collections.ed.ac.uk/art/record/21241?highlight=*:*
Unknown (1985),Sarah Setchfield,collections.ed.ac.uk/art/record/50432?highlight=*:*
Unknown (1950),Patrick W. Barclay,collections.ed.ac.uk/art/record/50620?highlight=*:*
Untitled (Unknown),Renny Tait,collections.ed.ac.uk/art/record/21645?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21633?highlight=*:*
Body Print (1982),Paul Duffus,collections.ed.ac.uk/art/record/21965?highlight=*:*
Snow Covered Landscape,Sheila Arnot,collections.ed.ac.uk/art/record/21479?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,collections.ed.ac.uk/art/record/99342?highlight=*:*
Untitled (1969),Jennifer M. Hughes,collections.ed.ac.uk/art/record/99837?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,collections.ed.ac.uk/art/record/22589?highlight=*:*
Untitled (1991-1992),Kate McKenzie,collections.ed.ac.uk/art/record/21993?highlight=*:*
Unknown,Fiona Hewitt,collections.ed.ac.uk/art/record/53599?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50382?highlight=*:*
Untitled (1986),Andrew Arnott,collections.ed.ac.uk/art/record/21626?highlight=*:*
San Gimignano from the Fields (1989),Jane V Hyslop,collections.ed.ac.uk/art/record/21693?highlight=*:*
Dish,Emma Gillies,collections.ed.ac.uk/art/record/53723?highlight=*:*
Standing Male Nude,A Wrever,collections.ed.ac.uk/art/record/20859?highlight=*:*
Standing Male Nude with Staff (Circa 1952),David Michie,collections.ed.ac.uk/art/record/21035?highlight=*:*
March Morning (Circa 1956),Peter G. Collins,collections.ed.ac.uk/art/record/22648?highlight=*:*
Charioteer facing right,NA,collections.ed.ac.uk/art/record/20660?highlight=*:*
Self Portrait (Nov 1981),Richard Wright,collections.ed.ac.uk/art/record/20771?highlight=*:*
Untitled (1974),Fiona Carlisle,collections.ed.ac.uk/art/record/21594?highlight=*:*
Seated Man and Woman,Elizabeth Blackadder,collections.ed.ac.uk/art/record/20775?highlight=*:*
Teapot Lid,Emma Gillies,collections.ed.ac.uk/art/record/53744?highlight=*:*
"Metope 5, south entablature, Parthenon (1837)",NA,collections.ed.ac.uk/art/record/20650?highlight=*:*
Unknown (Unknown),Margaret Clyde,collections.ed.ac.uk/art/record/21879?highlight=*:*
Portrait of Seated Man in Uniform (1952),Frances Walker,collections.ed.ac.uk/art/record/20848?highlight=*:*
Unknown (1975),Ruth Stiven,collections.ed.ac.uk/art/record/50398?highlight=*:*
Untitled,Unknown,collections.ed.ac.uk/art/record/102671?highlight=*:*
Aerial (2007),Anna Warsop,collections.ed.ac.uk/art/record/99904?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,collections.ed.ac.uk/art/record/21995?highlight=*:*
Aphrodite and Eros East Frieze of the Parthenon,NA,collections.ed.ac.uk/art/record/20683?highlight=*:*
Untitled - Man Sitting at the Table Drinking Tea (01 May 1961),John C Mark Jones,collections.ed.ac.uk/art/record/99259?highlight=*:*
Taking the Veil (1987),Elspeth Lamb,collections.ed.ac.uk/art/record/21924?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21713?highlight=*:*
View of a Street and Market (1948),Marjorie Wallace,collections.ed.ac.uk/art/record/20853?highlight=*:*
